title,artist,lyrics,listens,hotness,genres,genius ID,spotify ID
Summers Over Interlude,Drake,"

[Intro: Majid Al Maskati]
Ooh, baby, yeah

[Verse: Majid Al Maskati]
Days in the sun
And nights in the rain
Summer is over, simple and plain
Found me some fun that's good for the pain
Already told you, I don't feel the same
I don't feel the same

[Outro: Majid Al Maskati]
Anywhere I go
I can't help but show
I don't feel the same
Anywhere I go
I can't help but know
I don't feel the same
Anywhere I go
I can't help but know

",51595552,56,"['Interlude', 'R&B Genius', 'Canada', 'Rap Genius']",2463397,3ppVO2tyWRRznNmONvt7Se
Hard to Say I'm Sorry - 2009 Remaster,Chicago,"

[Verse 1]
Everybody needs a little time away
I heard her say, from each other
Even lovers need a holiday
Far away, from each other

[Chorus]
Hold me now
It's hard for me to say I'm sorry
I just want you to stay

[Post-Chorus]
After all that we've been through
I will make it up to you, I promise to
And after all that's been said and done
You're just a part of me, I can't let go

[Verse 2]
Couldn't stand to be kept away
Just for the day, from your body
Wouldn't wanna be swept away
Far away, from the one that I love

[Chorus]
Hold me now
It's hard for me to say I'm sorry
I just want you to know
Hold me now
I really wanna tell you I'm sorry
I could never let you go

[Post-Chorus]
After all that we've been through
I will make it up to you, I promise to
And after all that's been said and done
You're just a part of me, I can't let go

[Post-Chorus]
After all that we've been through
I will make it up to you, I promise to

[Refrain]
You're gonna be the lucky one

[Outro]
When we get there gonna jump in the air
No one'll see us cause there's nobody there
After all, you know we really don't care
Hold on, I'm gonna take you there

",36747318,53,"['Eighties', 'Yacht Rock', 'Progressive Rock', 'Rock Genius']",1094995,5nDSJO4909uNzMcZH3CggS
Yokluğuma Alışma,No. 1,"

[Verse 1: No. 1]
Kafası bozuk saçmalıyor
Yine saçmalamak için para arıyo'
Tebessüm ediyorum endişeler
Beynimin içinde öksürüyor
Halim iyi kötü çirkin
Aksar kalpteki ritim
Geri döndüm nerelere gitmiştim
Beni böldün hiç bi' boka benzemedim
Bataklığın içindeki yatağa uzan
Bakıp uzaklara dalma yanına pusar
Tabağa sıçanlar seni de bozar
Beni bozamadı neyse yine laf uzar
Uzandım usulca sigarama
Bu yavan ömrüme katık
Ben o gün öldüm gülüm
Hey bir daha ölmem artık

[Nakarat: Rozz]
Yollar
Bazen bizi zorlar
Sen nolur unutma
Yokluğuma alışma
Usulca
Gel hadi yine yaklaş
Şu lanet ışıklar
Bile geçmesin aramızdan
Yollar
Bazen bizi zorlar
Sen nolur unutma
Yokluğuma alışma
Usulca
Gel hadi yine yaklaş
Şu lanet ışıklar
Bile geçmesin aramızdan

[Verse 2: Sahir]
Kafama takılıp düşer beden
Yorgunum ama yazıyorum üşenmeden yine
Dumana boğulan düşünceler bile
Amaçsız bi savaş içindeler niye
Kapatamıyorum gökyüzünü
Bırak yalanı gururu dök yüzünü
Her şeyi götür ama kalsın sadece
Sigaram küllüğüm ve öksürüğüm
Ciğerim kötü halen iyiyim
Maskeli bu oyun ve de galibiyim
Tebessüm ediyosan endişe yok boşver
Kafanda kuruntu daha ne diyim
Lanet ışığı kapat bitsin ömrüm
Zamana bıraktım ilke döndüm
Gözümü açamadım bir bez örtü
Bir daha ölmem ben bir kez öldüm

",1154536,44,"['Türkiye', 'Türkçe Sözlü Rap', 'Rap Genius', 'Turkey']",3264702,7sKzxpsrivHioVArgWacZa
Las Cuatro Estaciones Op.8/3 - Invierno - Allegro Non Molto,The Royal Vivaldi Symphony,"

Instrumental

",610716,23,['Pop Genius'],2186582,3Y2eW1wWEHwLjTsEo1IrvW
Two A.M. Lovesick,Blue October,"

I walk like a burned out porn star
With aching feet for a car
My buddy had a baby with a girl named Star
Makes me appreciate how the little things are

But crossing a road isn't easily told
To a young, has-been centerfold
Labeled a winner's episode

Yeah, I'm really clean if you know what I mean
Except for this reoccurring dream
Of losing total feeling
While the windmill's squealing
The windmill's squealing

I paint to kill the dead saints
I paint to make it clear
My colors run in blue and gray
But they give hope to someone dear

Yeah, yeah, yeah, 2 AM lovesick
With a walking pneumonia drum-kick
And this candle doesn't have a wick
But I'm really not that scared
No, I'm not that scared

I walk like a burned out porn star
With aching feet for a car
My buddy had a baby with a girl named Star
Makes me appreciate how the little things are

",299038,22,['Pop Genius'],1407475,3qDADEJLyioOQuQuvGAG46
I Got It,Moosh & Twist,"

[Hook]
I ain't tryna play now
Imma do my thing
Y-You already know I could get it all day
I can do it major
I can do it right
Imma get it for the rest of my life
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know that I got It
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know that I got It
Yeah, yeah, yeah, yeah

[Verse 1: Twist]
You hear this song you should play it loud
We got what you need, say she want it bad
She like Michael Jackson, Billie Jean
I remember after class all we did was try to smash hoes
Now life is a game, tryna make that super smash bros
All for it to happen you got to believe in it
Take a look in the mirror you got all you need in it
Know that it sounds strange but money ain't a thang
Ain't nobody wanna work everybody want the fame now
And every time I fall in love you know I cling too much
All my homies drink too much, yeah I think I think too much
Chasin' this dream that we got forever you know it
Im tryin to take in the moment so you could say that we're focused
I said...

[Hook]
I ain't tryna play now
Imma do my thing
Y-You already know I could get it all day
I can do it major
I can do it right
Imma get it for the rest of my life
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know that I got It
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know that I got It
Yeah, yeah, yeah, yeah

[Verse 2: Moosh]
This song for my grandma, she can't believe what I do
I stack bread and make cheese and I can't eat without you
Strip clubs my new thing, just can't believe what I blew
I walked in at like 10:30, I left out around 2
I do this for real, I know that practice make perfect
Gotta flow that's so hard, I make a ratchet get nervous
Man, it should be illegal, we just scratchin' the surface
I'm finna take you to church, I'll meet you after the service
Now who the hell are you kiddin', I need a key to the city
I'm that homie she feelin', I need a key to the cribbie
Now who the fuck do you like? Either its me or it's Twizzy
And don't be callin my phone, baby you see that I'm busy (I got it!)

[Hook]
I ain't tryna play now
Imma do my thing
Y-You already know I could get it all day
I can do it major
I can do it right
Imma get it for the rest of my life
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know that I got It
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know that I got It
Yeah, yeah, yeah, yeah

[Bridge:]
If you know that you got it can't nobody take it from you
That's just that way it go
First they hate you then they love you

[Bridge:]
If you know that you got it can't nobody take it from you
That's just that way it go
First they hate you then they love you

[Bridge:]
If you know that you got it can't nobody take it from you
That's just that way it go
First they hate you then they love you

[Bridge:]
If you know that you got it can't nobody take it from you
That's just that way it go
First they hate you then they love you

[Hook]
I ain't tryna play now
Imma do my thing
Y-You already know I could get it all day
I can do it major
I can do it right
Imma get it for the rest of my life
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know that I got It
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know that I got It
Yeah, yeah, yeah, yeah

[Outro]
I know that I got It
I know that I got It
I know That I got It
Yeah, yeah, check me out
I know that I got It
I know that I got It
I know That I got It
Yeah, yeah

",2811243,35,['Rap Genius'],387170,5PMsPFDXC3QY0HA31EJbBs
Restless,Within Temptation,"

She embraced with a smile
As she opened the door
A cold wind blows
It puts a chill into her heart

You have taken away the trust
You're the ghost haunting through her heart
Past and present are one in her head
You're the ghost haunting through her heart

Take my hand as I wander through
All of my life I gave to you
Take my hand as I wander through
All of my love I gave to you

You have taken away the trust
You're the ghost haunting through her heart
Past and present are one in her head
You're the ghost haunting through her heart

Take my hand as I wander through
All of my life I gave to you
Take my hand as I wander through
All of my love I gave to you

",1595444,26,"['Rock Genius', 'Symphonic Metal']",1403380,0gdeTC0zXAPJzbzveGQMdX
Ciao Adios,Anne-Marie,"

[Verse 1]
Ask you once, ask you twice now
There's lipstick on your collar
You say she's just a friend now
Then why don't we call her?
So you wanna go home with someone
To do all the things you used to do to me
I swear, I know you do

[Pre-Chorus]
Used to take me out, in your fancy car
And make out in the rain
And when I ring you up
Don't know where you are
'Til I hear her say your name
Used to sing along, when you played guitar
That's a distant memory
Hope she treats you better than you treated me, ha

[Chorus]
I'm onto you, yeah, you
I'm not your number one
I saw you, with her
Kissing and having fun
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done, (Ciao adios, I'm done)
Ciao adios (adios, adios) , I'm done
I'm onto you, yeah, you
I'm not your number one
I saw you, with her
Kissing and having fun
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done

[Verse 2]
After three, after four times
Why did I bother?
Tell me how many more times
Does it take to get smarter?
Don't need to deny the hurt and the lies
And all of the things you did to me
I swear, I know you did

[Pre-Chorus]
Now you take her out, in your fancy car
And make out in the rain
And when she rings you up
She know where you are
But I know differently
Now she sings along, when you play guitar
Making brand new memories
Hope you treat her better than you treated me

[Chorus]
I'm onto you, yeah, you
I'm not your number one
I saw you, with her
Kissing and having fun
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done, (Ciao adios, I'm done)
Ciao adios (adios, adios) , I'm done
I'm onto you, yeah, you
I'm not your number one
I saw you, with her
Kissing and having fun
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done

",214609787,63,"['Remix', 'Pop Genius']",4086489,3EfugazgSddQvzZpkof5I4
Kaugummi,Laing,"

Ich kau, kau, kau, kau
Kaugummi, Kaugummi, Kaugummi, Kaugummi
Ich kau, kau, kau, kau
Kaugummi, Kaugummi, Kaugummi

Ich hab beim Hosenflicken
Den Faden verlorn'
Buchseiten gelesen und
Begonn' von vorn'
Schubladen geleert
Um sie zu sortiern'
Jetzt liegt alles rum
Ich konnt' mich nicht motiviern'

Und hier sitz' ich
Am Küchentisch
Und tu das Einzige
Wonach mir ist!

Ich kau, kau, kau, kau
Kaugummi, Kaugummi, Kaugummi, Kaugummi
Ich kau, kau, kau, kau
Kaugummi, Kaugummi, Kaugummi, Kaugummi

Ich hab' Freunde eingeladen
Und nicht aufgemacht
Komödien gesehen
Und nicht einmal gelacht
Am Klavier gesessen
Und mir nichts ausgedacht
Mich schlafend gestellt
Die ganze Nacht
Ich hab' Flieger gefaltet
Aus leerem Briefpapier
Den Pulli gewaschen
Der noch roch' nach dir
Das Bett neu bezogen
Und Deine Seite gemieden
Ich bin zu dir gefahrn'
Und nicht ausgestiegen

Und hier sitz' ich
Am Küchentisch
Und tu das Einzige
Wonach mir ist!

Ich kau, kau, kau, kau
Kaugummi, Kaugummi, Kaugummi, Kaugummi
Ich kau, kau, kau, kau
Kaugummi, Kaugummi, Kaugummi, Kaugummi
Ich kau (kau), kau (kau), kau (kau), kau
Meinen Kaugummi, Kaugummi, Kaugummi, Kaugummi
Ich kau (kau), kau (kau), kau (kau), bis er nach(kau) Nichts mehr(kau) schmeckt
Kaugummi, Kaugummi, Kaugummi, Kaugummi

Mit dem Rauchen begonnen
Und wieder aufgehört
Hab' Pillen genommen
Und nichts gemerkt
Bin gerannt und geschwommen
Und nirgends angekommen
Teure Sachen gekauft
Nich' aus der Packung genommen
Hab' alles durchgekaut
Den ganzen Mist
Und jetzt sitz' ich hier
Weil es is' wie es is'

Ich kau, kau, kau, kau
Kaugummi, Kaugummi, Kaugummi, Kaugummi
Ich kau, kau, kau, kau
Kaugummi, Kaugummi, Kaugummi, Kaugummi

Ich kau (kau), kau (kau), kau (kau), kau
Meinen Kaugummi, Kaugummi, Kaugummi, Kaugummi
Ich kau (kau), kau (kau), kau (kau), kau
Meinen Kaugummi, Kaugummi, Kaugummi, Kaugummi

Bis er nach Nichts mehr schmeeeeckt
(bis er nach, bis er nach
Bis er nach, bis er nach)
Bis er nach, bis er nach, bis er nach nichts mehr schmee-
Heeee-
Heeee-
Heeeeckt

Bis er nach Nichts mehr schmeheckt

Denn dann erst bist du wirklich
Dann erst bist du wirklich
(Weg)

",119839,16,"['Deutschland', 'Pop Genius']",2095304,6HddA1jVnlGlTaoaZuTLdS
Encounter,Single Wound,"

I’ve spent my days here away from everyone
Encountering everything I’ve ever done 

My own hands around my neck dragging me back to where I was
If you only knew how much I gave a fuck 

(It’s not enough) It never is
Desperately reaching for a moment of bliss
But I guess I’m just an anxious piece of shit

My mind is blinded by my past and it won’t die if I keep looking back

I need to know if I’m alone or not

Do you hate yourself the way that I hate the world ?

We can get through this encounter
Together

",1711,0,['Rock Genius'],3966418,58duzyL3RG56ioR078SFVv
